ID,Price_250mg,BB_SMILES,truncate_SMILES
EN300-39849432,977.0,Cc1ccc(c(c1)F)c2cnc(nc2N3CCC[C@@H](C3)NC(=O)OCC4c5ccccc5-c6c4cccc6)C(=O)O,Cc1ccc(-c2cncnc2N2CCC[C@H](N)C2)c(F)c1
EN300-1704869,2106.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4CCC5(CC4)CC(C5)(c6ccc(cn6)Br)OCC(=O)O,COC1(c2ccc(Br)cn2)CC2(CCNCC2)C1
EN300-1704870,2106.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4CCC5(CC4)CC(C5)(c6ccc(nc6)Br)OCC(=O)O,COC1(c2ccc(Br)nc2)CC2(CCNCC2)C1
EN300-1704935,1370.0,Cn1cc(nc1C2(CC3(C2)CCN(CC3)C(=O)OCC4c5ccccc5-c6c4cccc6)OCC(=O)O)Br,COC1(c2nc(Br)cn2C)CC2(CCNCC2)C1
EN300-1705656,2159.0,Cn1cc(nc1[C@@]2(CCN(C3(C2)CCC3)C(=O)OCC4c5ccccc5-c6c4cccc6)OCC(=O)O)Br,CO[C@@]1(c2nc(Br)cn2C)CCNC2(CCC2)C1
EN300-1705573,2453.0,Cn1cc(nc1[C@@]2(CCN(C23CCCC3)C(=O)OCC4c5ccccc5-c6c4cccc6)OCC(=O)O)Br,CO[C@@]1(c2nc(Br)cn2C)CCNC12CCCC2
EN300-1705540,2163.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4CC[C@](CC45CCC5)(c6nc(cs6)Br)OCC(=O)O,CO[C@@]1(c2nc(Br)cs2)CCNC2(CCC2)C1
EN300-1705366,2164.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4CCC5(CC4)[C@@](CCO5)(c6cccc(c6)Br)OCC(=O)O,CO[C@@]1(c2cccc(Br)c2)CCOC12CCNCC2
EN300-1705264,2163.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4CC[C@](C5(C4)CCOCC5)(c6ccc(cc6)Br)OCC(=O)O,CO[C@@]1(c2ccc(Br)cc2)CCNCC12CCOCC2
EN300-1705265,2137.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4CC[C@](C5(C4)CCOCC5)(c6cccc(c6)Br)OCC(=O)O,CO[C@@]1(c2cccc(Br)c2)CCNCC12CCOCC2
EN300-1705439,2309.0,Cn1cc(nc1[C@@]2(CCN(CC23CCOCC3)C(=O)OCC4c5ccccc5-c6c4cccc6)OCC(=O)O)Br,CO[C@@]1(c2nc(Br)cn2C)CCNCC12CCOCC2
EN300-96350,19.0,c1ccc(cc1)C(c2ccccc2)(c3ccccc3)n4cc(nc4)C[C@@H](C(=O)O)NC(=O)OCC5c6ccccc6-c7c5cccc7,NCCc1cn(C(c2ccccc2)(c2ccccc2)c2ccccc2)cn1
EN300-7359520,19.0,c1ccc(cc1)C(c2ccccc2)(c3ccccc3)n4cc(nc4)C[C@H](C(=O)O)NC(=O)OCC5c6ccccc6-c7c5cccc7,NCCc1cn(C(c2ccccc2)(c2ccccc2)c2ccccc2)cn1
