ID,Price_250mg,BB_SMILES,truncate_SMILES
EN300-142240,194.0,Cn1c(cc(n1)C(=O)O)OC,COc1ccnn1C
EN300-142412,331.0,C(CCC(=O)O)CC(=O)N,CCCCC(N)=O
EN300-150716,481.0,COCc1nc(co1)C(=O)O,COCc1ncco1
EN300-152207,425.0,c1cc(ccc1c2[nH]c(cn2)C(=O)O)C(F)(F)F,FC(F)(F)c1ccc(-c2ncc[nH]2)cc1
EN300-152506,46.0,COc1ccc(cc1CC(=O)O)F,COc1ccc(F)cc1C
EN300-13946,19.0,COc1ccc(cc1F)CC(=O)O,COc1ccc(C)cc1F
EN300-20580,19.0,c1c[n+](ccc1C(=O)O)[O-],[O-][n+]1ccccc1
EN300-153202,452.0,Cn1cc(cn1)c2c[nH]cc2C(=O)O,Cn1cc(-c2cc[nH]c2)cn1
EN300-140670,216.0,CC(C)(CC(=O)Nc1cc(cc(c1)F)F)C(=O)O,CC(C)CC(=O)Nc1cc(F)cc(F)c1
EN300-140438,206.0,CC(C)S(=O)(=O)c1cccc(c1)C(=O)O,CC(C)S(=O)(=O)c1ccccc1
EN300-141705,629.0,c1cc2c(cc1OC(F)F)OC(C2)C(=O)O,FC(F)Oc1ccc2c(c1)OCC2
EN300-16452,19.0,Cc1cc(nc(n1)SCC(=O)O)C,CSc1nc(C)cc(C)n1
EN300-16799,19.0,c1ccc(cc1)c2cc(c3ccccc3n2)C(=O)O,c1ccc(-c2ccc3ccccc3n2)cc1
EN300-20979,19.0,Cc1c(cc(cc1OC)C(=O)O)OC,COc1cccc(OC)c1C
EN300-16636,19.0,c1ccc(c(c1)C(=O)O)/N=N/c2ccc(cc2)O,Oc1ccc(/N=N/c2ccccc2)cc1
EN300-141712,631.0,c1cc(c(c(c1)F)C(=O)NCC(=O)O)F,CNC(=O)c1c(F)cccc1F
EN300-138237,216.0,c1ccc(c(c1)COc2ccc(cn2)C(=O)O)F,Fc1ccccc1COc1ccccn1
EN300-140753,185.0,CCSCc1cc(no1)C(=O)O,CCSCc1ccno1
EN300-154503,19.0,c1cc(c(cc1F)Br)CC(=O)O,Cc1ccc(F)cc1Br
EN300-19504,19.0,c1cc(cc(c1)Cl)C(=O)O,Clc1ccccc1
EN300-20611,19.0,c1cc(ccc1C2(CCCC2)C(=O)O)Cl,Clc1ccc(C2CCCC2)cc1
EN300-21070,19.0,CC(C)c1cc(c(c(c1)C(=O)O)O)C(C)C,CC(C)c1ccc(O)c(C(C)C)c1
